track    sector      Entr      InIt      Comp      Wait      Serv  TimInSys
79        23      19.6      19.6       259         0     239.4     239.4
89         6      78.5       259     290.3     180.5      31.3     211.8
9        15     115.3     290.3     531.2       175     240.9     415.9
16         6      59.6     531.2     554.3     471.6      23.1     494.7
21         5      39.4     554.3     572.2     514.9      17.9     532.8
40        12      88.6     572.2     629.9     483.6      57.7     541.3
43        10      32.6     629.9     641.7     597.3      11.8     609.1
47        14      27.6     641.7     654.1     614.1      12.4     626.5
52        21      74.3     654.1     669.8     579.8      15.7     595.5
72        14      41.2     669.8     732.1     628.6      62.3     690.9
