track    sector      Entr      InIt      Comp      Wait      Serv  TimInSys
79        23      19.6      19.6       259         0     239.4     239.4
47        14      27.6       259     357.1     231.4      98.1     329.5
43        10      32.6     357.1     371.7     324.5      14.6     339.1
21         5      39.4     371.7     440.2     332.3      68.5     400.8
72        14      41.2     440.2     594.1       399     153.9     552.9
16         6      59.6     594.1     764.3     534.5     170.2     704.7
52        21      74.3     764.3     873.8       690     109.5     799.5
89         6      78.5     873.8     986.3     795.3     112.5     907.8
40        12      88.6     986.3    1133.9     897.7     147.6    1045.3
9        15     115.3    1133.9    1227.2    1018.6      93.3    1111.9
