track    sector      Entr      InIt      Comp      Wait      Serv  TimInSys
79        23      19.6      19.6       259         0     239.4     239.4
89         6      78.5       259     290.3     180.5      31.3     211.8
72        14      41.2     290.3     342.1     249.1      51.8     300.9
52        21      74.3     342.1     402.8     267.8      60.7     328.5
47        14      27.6     402.8     420.1     375.2      17.3     392.5
43        10      32.6     420.1     434.7     387.5      14.6     402.1
40        12      88.6     434.7     443.9     346.1       9.2     355.3
21         5      39.4     443.9     503.2     404.5      59.3     463.8
16         6      59.6     503.2     518.3     443.6      15.1     458.7
9        15     115.3     518.3     540.2       403      21.9     424.9
