track    sector      Entr      InIt      Comp      Wait      Serv  TimInSys
79        23      19.6      19.6       259         0     239.4     239.4
72        14      41.2       259     282.1     217.8      23.1     240.9
52        21      74.3     282.1     342.8     207.8      60.7     268.5
47        14      27.6     342.8     360.1     315.2      17.3     332.5
43        10      32.6     360.1     374.7     327.5      14.6     342.1
40        12      88.6     374.7     383.9     286.1       9.2     295.3
21         5      39.4     383.9     443.2     344.5      59.3     403.8
16         6      59.6     443.2     458.3     383.6      15.1     398.7
89         6      78.5     458.3     680.3     379.8       222     601.8
9        15     115.3     680.3     921.2       565     240.9     805.9
