Time      FCFSSAME TRACK    PICKUP  C-LOOKUP    LOOKUP
50         5         5         5         5         5
100         9         9         9         9         9
150        10        10        10        10        10
200        10        10        10        10        10
250        10        10        10        10        10
300         9         9         8         8         8
350         9         9         7         8         7
400         7         7         4         8         7
450         6         6         3         8         3
500         6         6         2         8         3
550         6         6         2         7         0
600         5         5         2         5         0
650         5         5         2         3         0
700         5         5         1         1         0
750         5         5         1         0         0
800         4         4         1         0         0
850         4         4         1         0         0
900         3         3         1         0         0
950         3         3         0         0         0
1000         2         2         0         0         0
1050         2         2         0         0         0
1100         2         2         0         0         0
1150         1         1         0         0         0
1200         1         1         0         0         0
